2015-08-01 18:27:03.571 flashair_001[7327:1459150] -[AppDelegate newFileChk]
2015-08-01 18:27:03.572 flashair_001[7327:1459151] -[AppDelegate photoDownload]
2015-08-01 18:27:03.576 flashair_001[7327:1459089] -[photoCollectionViewController viewDidLoad]
2015-08-01 18:27:03.743 flashair_001[7327:1459089] -[photoCollectionViewController viewWillAppear:]
2015-08-01 18:27:03.745 flashair_001[7327:1459089] -[photoCollectionViewController reloadTblData]
2015-08-01 18:27:04.244 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.280 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.288 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.296 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.303 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.310 flashair_001[7327:1459089] -[slideMenuView tableView:cellForRowAtIndexPath:]
2015-08-01 18:27:04.669 flashair_001[7327:1459089] -[photoCollectionViewController reloadTblData]
